"id","title","description","link","image_link","price","availability","product_type"
"bedrooms-valencia","Valencia Bedroom Set","Discover the Valencia Luxury Bedroom Collection by VIRELLAART, distinguished by a sculptural headboard, elegant symmetry and refined decorative detailing. Designed for sophisticated villas and serene master suites, this luxury bedroom furniture creates a graceful, prestigious atmosphere with strong visual harmony. Request a private Valencia Bedroom quotation via WhatsApp, including bedroom-set options and international shipping details.","https://www.virellaart.com/bedrooms/valencia/","https://www.virellaart.com/valenciabed-01.webp","5450.00 USD","preorder","Furniture > Bedroom Furniture"
"collections-modern-sofa-sets-boston-sofa-set","Boston Sofa Set","BOSTON Sofa Set creates a soft architectural statement with rounded bases, wraparound arms and quilted seating details. Its 3+3+1+1 composition pairs charcoal and cream tones for a balanced contemporary living room. A distinctive choice for customers searching for a modern curved sofa set, luxury living room furniture and designer seating from VIRELLAART.","https://www.virellaart.com/collections/modern/sofa-sets/boston-sofa-set/","https://www.virellaart.com/boston-sofa-set-07.webp","3100.00 USD","preorder","Furniture > Living Room Furniture > Sofa Sets"
"collections-modern-sofa-sets-eftelya-sofa-set","Eftelya Sofa Set","EFTELYA Sofa Set brings a distinctive sculptural character to contemporary interiors through its winged side profile, channeled back detailing and generously layered cushions. The complete 3+3+1+1 arrangement creates a sophisticated grey living room composition with strong visual depth and elegant proportions. A refined choice for customers searching for a modern grey sofa set, luxury four-piece living room furniture and designer contemporary seating from VIRELLAART.","https://www.virellaart.com/collections/modern/sofa-sets/eftelya-sofa-set/","https://www.virellaart.com/eftelya-sofa-set-02.webp","3100.00 USD","preorder","Furniture > Living Room Furniture > Sofa Sets"
"collections-modern-sofa-sets-gizem-sofa-set","Gizem Sofa Set","GIZEM Sofa Set combines a streamlined contemporary silhouette with adjustable headrests and reclining footrest sections designed for flexible modern living. Its complete 3+3+1+1 arrangement features refined grey seating, structured cushions and elevated dark frames, while the integrated control detail adds a technology-focused character. A distinctive choice for customers searching for a modern recliner sofa set, luxury grey living room furniture and premium reclining seating from VIRELLAART.","https://www.virellaart.com/collections/modern/sofa-sets/gizem-sofa-set/","https://www.virellaart.com/gizem-sofa-set-02.webp","4500.00 USD","preorder","Furniture > Living Room Furniture > Sofa Sets"
"collections-modern-sofa-sets-nobu-sofa-set","Nobu Sofa Set","The Nobu Sofa Set presents a refined contemporary living room composition built around a spacious 4+3+1+1 seating arrangement. Its coordinated proportions create a polished modern interior while the matching two-piece coffee table, corner table and TV unit complete the collection with a unified architectural character. Designed for sophisticated residential spaces, Nobu is a made-to-order modern sofa collection available with international delivery from VIRELLAART.","https://www.virellaart.com/collections/modern/sofa-sets/nobu-sofa-set/","https://www.virellaart.com/nobu-sofa-set-01.webp","5200.00 USD","preorder","Furniture > Living Room Furniture > Sofa Sets"
"dining-rooms-saltanat-green","Saltanat Green Dining Room Set","The Saltanat Green Luxury Dining Room Collection by VIRELLAART presents a dramatic classical composition with sculptural seating, ornate framing and a richly ceremonial atmosphere. Designed for palatial villas and distinguished entertaining spaces, this luxury dining room furniture creates commanding visual impact and lasting prestige. Send your project requirements on WhatsApp for Saltanat Green Dining Room collection pricing, tailored options and international delivery support.","https://www.virellaart.com/dining-rooms/saltanat-green/","https://www.virellaart.com/saltanatdininggreen-04.webp","13950.00 USD","preorder","Furniture > Dining Room Furniture"
"dining-rooms-vanessa","Vanessa Dining Room Set","The Vanessa Luxury Dining Room Collection by VIRELLAART is defined by high-back seating, crisp geometric lines and a formal, tailored character. Designed for elegant villas and sophisticated entertaining spaces, this luxury dining room furniture creates a confident sense of occasion and refined visual order. Contact VIRELLAART on WhatsApp for Vanessa Dining Room set pricing, customization options and worldwide delivery assistance.","https://www.virellaart.com/dining-rooms/vanessa/","https://www.virellaart.com/vanessadining-01.webp","6550.00 USD","preorder","Furniture > Dining Room Furniture"
"living-rooms-sena","Sena Sofa Set","Discover the Sena Luxury Living Room Collection by VIRELLAART, defined by formal symmetry, graceful curved profiles and a distinguished classical presence. Designed for grand villas and elegant reception spaces, this luxury living room furniture creates a refined, ceremonial atmosphere with strong visual authority. Connect with VIRELLAART via WhatsApp for Sena Living Room availability, customization possibilities and worldwide delivery information.","https://www.virellaart.com/living-rooms/sena/","https://www.virellaart.com/sena-01.webp","4350.00 USD","preorder","Furniture > Living Room Furniture > Sofa Sets"
"living-rooms-vanessa","Vanessa Sofa Set","Meet the Vanessa Luxury Living Room Collection by VIRELLAART, defined by formal silhouettes, tailored seating and bold geometric tables that create a polished, high-contrast interior. Ideal for sophisticated villas and statement lounges, this luxury living room furniture delivers strong visual identity. Speak with the VIRELLAART team on WhatsApp about Vanessa Living Room pricing, sofa-set options and delivery planning for your interior project.","https://www.virellaart.com/living-rooms/vanessa/","https://www.virellaart.com/vanessa-07.webp","5700.00 USD","preorder","Furniture > Living Room Furniture > Sofa Sets"
"living-rooms-zerafet","Zerafet Sofa Set","The Zerafet Luxury Living Room Collection by VIRELLAART blends graceful classical silhouettes, balanced seating and an inviting salon composition. Designed for elegant villas and formal reception spaces, this luxury sofa set brings warmth, symmetry and timeless refinement to the interior. Request a private Zerafet Living Room quotation on WhatsApp, including customization choices and international delivery support from VIRELLAART.","https://www.virellaart.com/living-rooms/zerafet/","https://www.virellaart.com/zerafetsofa-04.webp","4450.00 USD","preorder","Furniture > Living Room Furniture > Sofa Sets"
